0,Q: Is 'red lego brick' heavier than 'hammer'? A: No
1,Q: Is 'red lego brick' heavier than 'big bowl'? A: No
2,Q: Is 'red lego brick' heavier than 'big elephant toy'? A: No
3,Q: Is 'red lego brick' heavier than 'hair dryer'? A: No
4,Q: Is 'red lego brick' heavier than 'dali clock'? A: No
5,Q: Is 'red lego brick' heavier than 'umbrella'? A: No
6,Q: Is 'red lego brick' heavier than 'pillow'? A: No
7,Q: Is 'red lego brick' heavier than 'keyboard'? A: No
8,Q: Is 'red lego brick' heavier than 'toaster'? A: No
9,Q: Is 'red lego brick' heavier than 'drill'? A: No
10,Q: Is 'green lego brick' heavier than 'hammer'? A: No
11,Q: Is 'green lego brick' heavier than 'big bowl'? A: No
12,Q: Is 'green lego brick' heavier than 'big elephant toy'? A: No
13,Q: Is 'green lego brick' heavier than 'hair dryer'? A: No
14,Q: Is 'green lego brick' heavier than 'dali clock'? A: No
15,Q: Is 'green lego brick' heavier than 'umbrella'? A: No
16,Q: Is 'green lego brick' heavier than 'pillow'? A: No
17,Q: Is 'green lego brick' heavier than 'keyboard'? A: No
18,Q: Is 'green lego brick' heavier than 'toaster'? A: No
19,Q: Is 'green lego brick' heavier than 'drill'? A: No
20,Q: Is 'safety razer' heavier than 'big bowl'? A: No
21,Q: Is 'safety razer' heavier than 'big elephant toy'? A: No
22,Q: Is 'safety razer' heavier than 'hair dryer'? A: No
23,Q: Is 'safety razer' heavier than 'dali clock'? A: No
24,Q: Is 'safety razer' heavier than 'umbrella'? A: No
25,Q: Is 'safety razer' heavier than 'pillow'? A: No
26,Q: Is 'safety razer' heavier than 'keyboard'? A: No
27,Q: Is 'safety razer' heavier than 'toaster'? A: No
28,Q: Is 'safety razer' heavier than 'drill'? A: No
29,Q: Is 'back scratcher' heavier than 'big bowl'? A: No
30,Q: Is 'back scratcher' heavier than 'big elephant toy'? A: No
31,Q: Is 'back scratcher' heavier than 'hair dryer'? A: No
32,Q: Is 'back scratcher' heavier than 'dali clock'? A: No
33,Q: Is 'back scratcher' heavier than 'umbrella'? A: No
34,Q: Is 'back scratcher' heavier than 'pillow'? A: No
35,Q: Is 'back scratcher' heavier than 'keyboard'? A: No
36,Q: Is 'back scratcher' heavier than 'toaster'? A: No
37,Q: Is 'back scratcher' heavier than 'drill'? A: No
38,Q: Is 'little stapler' heavier than 'big bowl'? A: No
39,Q: Is 'little stapler' heavier than 'big elephant toy'? A: No
40,Q: Is 'little stapler' heavier than 'hair dryer'? A: No
41,Q: Is 'little stapler' heavier than 'dali clock'? A: No
42,Q: Is 'little stapler' heavier than 'umbrella'? A: No
43,Q: Is 'little stapler' heavier than 'pillow'? A: No
44,Q: Is 'little stapler' heavier than 'keyboard'? A: No
45,Q: Is 'little stapler' heavier than 'toaster'? A: No
46,Q: Is 'little stapler' heavier than 'drill'? A: No
47,Q: Is 'presentaiton remote' heavier than 'big bowl'? A: No
48,Q: Is 'presentaiton remote' heavier than 'big elephant toy'? A: No
49,Q: Is 'presentaiton remote' heavier than 'hair dryer'? A: No
50,Q: Is 'presentaiton remote' heavier than 'dali clock'? A: No
51,Q: Is 'presentaiton remote' heavier than 'umbrella'? A: No
52,Q: Is 'presentaiton remote' heavier than 'pillow'? A: No
53,Q: Is 'presentaiton remote' heavier than 'keyboard'? A: No
54,Q: Is 'presentaiton remote' heavier than 'toaster'? A: No
55,Q: Is 'presentaiton remote' heavier than 'drill'? A: No
56,Q: Is 'wooden train track' heavier than 'big bowl'? A: No
57,Q: Is 'wooden train track' heavier than 'big elephant toy'? A: No
58,Q: Is 'wooden train track' heavier than 'hair dryer'? A: No
59,Q: Is 'wooden train track' heavier than 'dali clock'? A: No
60,Q: Is 'wooden train track' heavier than 'umbrella'? A: No
61,Q: Is 'wooden train track' heavier than 'pillow'? A: No
62,Q: Is 'wooden train track' heavier than 'keyboard'? A: No
63,Q: Is 'wooden train track' heavier than 'toaster'? A: No
64,Q: Is 'wooden train track' heavier than 'drill'? A: No
65,Q: Is 'wooden spoon' heavier than 'big bowl'? A: No
66,Q: Is 'wooden spoon' heavier than 'big elephant toy'? A: No
67,Q: Is 'wooden spoon' heavier than 'hair dryer'? A: No
68,Q: Is 'wooden spoon' heavier than 'dali clock'? A: No
69,Q: Is 'wooden spoon' heavier than 'umbrella'? A: No
70,Q: Is 'wooden spoon' heavier than 'pillow'? A: No
